Altium Designer Pick and Place Locations
D:\H_BAIDU\Project\NS6202_IPN\Output\2020-11-11\Pick Place\Pick Place for NS6202_V4.0.txt

========================================================================================================================
File Design Information:

Date:       11-11-20
Time:       13:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint    Center-X(mm) Center-Y(mm) Rotation Description 
U9         LM386M-1              TopLayer    SOIC-8       21.2800      -11.1420     270      ""          
R58        0/NI                  BottomLayer RS-1005      15.7480      -10.2870     360      ""          
R57        1K                    TopLayer    RS-1005      13.3350      -11.7420     360      ""          
R56        10K                   TopLayer    RS-1005      14.9860      -12.1920     90       ""          
R55        10                    TopLayer    RS-1005      28.5750      -6.4770      270      ""          
R54        2.2K                  BottomLayer RS-1005      -6.9850      3.9370       270      ""          
R53        2.2K//NI              BottomLayer RS-1005      -8.2550      3.9370       90       ""          
R47        2.2K                  BottomLayer RS-1005      -9.5250      3.9370       90       ""          
J13        12505WS-03            BottomLayer 12505WS-3P   25.1079      -9.2710      90       ""          
FB4        60                    BottomLayer LS-1608      23.3999      2.5400       270      ""          
FB3        60                    TopLayer    LS-1608      17.7610      -15.1130     360      ""          
FB2        60                    TopLayer    LS-1608      -5.0187      2.7960       180      ""          
C26        22uF                  TopLayer    CS-2012      23.3810      1.6510       270      ""          
C22        2.2uF                 TopLayer    CS-1608      10.1922      4.7915       360      ""          
C21        10nF                  TopLayer    CS-1005      22.3520      4.5720       270      ""          
C20        10nF                  TopLayer    CS-1005      6.1370       4.7915       270      ""          
C17        22uF-2012-6.3V        TopLayer    CS-2012      9.6922       -25.1270     270      ""          
C16        22uF-2012-6.3V        TopLayer    CS-2012      7.3980       -25.1270     270      ""          
C15        10nF                  TopLayer    CS-1005      4.1870       -16.1630     360      ""          
C14        3.3nF                 TopLayer    CS-1005      -6.6040      -14.4780     180      ""          
C13        0.1uF                 TopLayer    CS-1005      -6.5961      -16.1630     180      ""          
C12        0.1uF                 TopLayer    CS-1005      0.5080       -17.6530     360      ""          
C11        4.7uF-25V             TopLayer    C3216        -7.2730      -24.5688     270      ""          
C10        22uF                  TopLayer    CTS-3216     26.7970      -9.2710      90       ""          
C9         47pF                  TopLayer    CS-1005      28.5750      -8.6360      270      ""          
C8         10uF                  TopLayer    CTS-3216     21.2090      -7.2390      180      ""          
C5         2.2nF                 TopLayer    CS-1005      -0.5080      10.1941      180      ""          
C4         2.2nF                 TopLayer    CS-1005      -0.5080      11.4300      180      ""          
C3         1nF                   BottomLayer CS-1005      -10.7950     3.9370       90       ""          
C2         220pF                 BottomLayer CS-1005      -12.0650     3.9370       90       ""          
BC10       10uF                  TopLayer    CTS-3216     23.3152      -15.1921     360      ""          
BC9        0.1uF                 TopLayer    CS-1005      20.0901      -14.7320     90       ""          
BC7        0.1uF                 BottomLayer CS-1005      -22.6060     7.0676       360      ""          
BC6        0.1uF                 BottomLayer CS-1005      -6.9850      1.7780       90       ""          
BC5        0.1uF                 TopLayer    CS-1005      -0.5080      12.7341      180      ""          
BC3        0.1uF                 TopLayer    CS-1005      17.9260      14.4780      360      ""          
J6         05005HS-40            TopLayer    05005HS-10P  0.0000       -21.9710     360      ""          
